lga_code,lda_name,year,population
45090,Naracoorte and Lucindale,2018,8555
45120,Northern Areas,2018,4619
45290,Norwood Payneham St Peters,2018,37056
45340,Onkaparinga,2018,172938
45400,Orroroo-Carrieton,2018,850
45540,Peterborough,2018,1687
45680,Playford,2018,94848
45890,Port Adelaide Enfield,2018,127740
46090,Port Augusta,2018,13862
46300,Port Lincoln,2018,14718
46450,Port Pirie City and Dists,2018,17634
46510,Prospect,2018,21520
46670,Renmark Paringa,2018,9907
46860,Robe,2018,1450
46970,Roxby Downs,2018,3954
47140,Salisbury,2018,143560
47290,Southern Mallee,2018,2080
47490,Streaky Bay,2018,2192
47630,Tatiara,2018,6816
47700,Tea Tree Gully,2018,100261
47800,The Coorong,2018,5429
47910,Tumby Bay,2018,2702
47980,Unley,2018,39208
48050,Victor Harbor,2018,15465
48130,Wakefield,2018,6838
